UI/GameTitle,EST Solar Mission,EST Misión Solar,EST Missione Solare
UI/OptionsMenu,Options,Opciones,Opzioni
HelloWorld,HelloWorld!,¡Hola Mundo!,Ciao mondo!
GenericDialogueTest_00,Hello testing 1 2 3,Hola probando 1 2 3,Ciao provando 1 2 3
GenericDialogueTest_01,Hello testing 4 5 6,Hola probando 4 5 6,Ciao provando 4 5 6
UI/NewGameMenu,New Game,Nueva Partida,LA NUOVA PARTITICIONE
UI/ContinueMenu,Continue,Continuar,CONTINUATOO
UI/ExitMenu,Exit,Salir,SPAGUEEEETTIIIII
UI/MusicAndSoundOptionsMenu,Music and sound,Música y sonido,Raviooooli
UI/MusicOptionsMenu,Music,Música,Tagilatell
UI/SoundOptionsMenu,Sound,Sonido,Linguini
UI/LanguageOptionsMenu,Language,Idioma,Pizza
UI/SpanishOptionsMenu,Spanish,Español,Fetuccini
UI/EnglishOptionsMenu,English,Inglés,
UI/BackOptionsMenu,Back,Volver,
Lomnicky/Bienvenida_00,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory
Lomnicky/Bienvenida_01,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!
Lomnicky/Bienvenida_02,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!
Lomnicky/Bienvenida_03,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.
Lomnicky/Bienvenida_04,But& be careful. Strange things... are happening…,But& be careful. Strange things... are happening…,But& be careful. Strange things... are happening…
Lomnicky/Bienvenida_05,Good luck! (You will need it),Good luck! (You will need it),Good luck! (You will need it)
Lomnicky/PickSkill_00,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!
Lomnicky/PickSkill_01,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.
Lomnicky/PickSkill_02,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!
Lomnicky/Teleferico_00,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field
Lomnicky/Teleferico_01,It's rare to see them at these low latitudes... and in daylight!,It's rare to see them at these low latitudes... and in daylight!,It's rare to see them at these low latitudes... and in daylight!
Lomnicky/Teleferico_02,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!
Lomnicky/Motor_00,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!
Lomnicky/Motor_01,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.
